Date,AAPL,GOOGL,AMZN
5/27/2015,122.308205,554.25,431.420013
5/28/2015,122.067375,554.179993,426.570007
5/29/2015,120.677933,545.320007,429.230011
6/1/2015,120.918762,549.210022,430.920013
6/2/2015,120.381523,553.950012,430.98999
6/3/2015,120.529716,555.289978,436.589996
6/4/2015,119.825737,551.690002,430.779999
6/5/2015,119.168053,549.530029,426.950012
6/8/2015,118.380714,543.47998,423.5
6/9/2015,118.028717,542.159973,425.480011
6/10/2015,119.381111,552.599976,430.769989
6/11/2015,119.112488,550.039978,432.970001
6/12/2015,117.79715,547.469971,429.920013
6/15/2015,117.565575,543,423.670013
6/16/2015,118.195457,544.869995,427.26001
6/17/2015,117.917557,546.599976,427.809998
6/18/2015,118.454803,556.179993,439.390015
6/19/2015,117.269157,557.52002,434.920013
6/22/2015,118.204712,559.679993,436.290009
6/23/2015,117.667465,563.390015,445.98999
6/24/2015,118.66787,558.570007,440.839996
6/25/2015,118.102837,557.950012,440.100006
6/26/2015,117.408104,553.059998,438.100006
6/29/2015,115.351707,541.25,429.859985
6/30/2015,116.185387,540.039978,434.089996
7/1/2015,117.269157,543.299988,437.390015
7/2/2015,117.120941,547.340027,437.709991
7/6/2015,116.713364,545.619995,436.040009
7/7/2015,116.426216,550.030029,436.720001
7/8/2015,113.536186,541.700012,429.700012
7/9/2015,111.220444,544.650024,434.390015
7/10/2015,114.193848,556.109985,443.51001
7/13/2015,116.398453,571.72998,455.570007
7/14/2015,116.352112,584.179993,465.570007
7/15/2015,117.472946,583.960022,461.190002
7/16/2015,119.038376,601.780029,475.480011
7/17/2015,120.066551,699.619995,483.01001
7/20/2015,122.335999,692.840027,488.100006
7/21/2015,121.113289,695.349976,488
7/22/2015,115.990868,695.099976,488.269989
7/23/2015,115.935295,674.72998,482.179993
7/24/2015,115.323929,654.77002,529.419983
7/27/2015,113.721443,658.27002,531.409973
7/28/2015,114.286491,659.659973,526.030029
7/29/2015,113.925224,661.429993,529
7/30/2015,113.350945,664.559998,536.76001
7/31/2015,112.359787,657.5,536.150024
8/3/2015,109.710579,664.719971,535.030029
8/4/2015,106.190651,661.280029,531.900024
8/5/2015,106.89463,673.289978,537.01001
8/6/2015,107.127243,670.150024,529.460022
8/7/2015,107.490135,664.390015,522.619995
8/10/2015,111.398201,663.140015,524
8/11/2015,105.601257,690.299988,527.460022
8/12/2015,107.229599,691.469971,525.909973
8/13/2015,107.145874,686.51001,529.659973
8/14/2015,107.899559,689.369995,531.52002
8/17/2015,109.016144,694.109985,535.219971
8/18/2015,108.402016,688.72998,535.02002
8/19/2015,107.015587,694.039978,532.919983
8/20/2015,104.819656,679.47998,515.780029
8/21/2015,98.408554,644.030029,494.470001
8/24/2015,95.952095,618.109985,463.369995
8/25/2015,96.528969,612.469971,466.369995
8/26/2015,102.065392,659.73999,500.769989
8/27/2015,105.070885,667.960022,518.369995
8/28/2015,105.415154,659.690002,518.01001
8/31/2015,104.922005,647.820007,512.890015
9/1/2015,100.232323,629.559998,496.540009
9/2/2015,104.531181,644.909973,510.549988
9/3/2015,102.69812,637.049988,504.720001
9/4/2015,101.674576,628.960022,499
9/8/2015,104.503265,643.880005,517.539978
9/9/2015,102.493416,643.409973,516.890015
9/10/2015,104.745216,651.080017,522.23999
9/11/2015,106.271194,655.299988,529.440002
9/14/2015,107.294724,652.469971,521.380005
9/15/2015,108.197311,665.070007,522.369995
9/16/2015,108.318291,665.52002,527.390015
9/17/2015,106.00135,671.669983,538.869995
9/18/2015,105.564041,660.919983,540.26001
9/21/2015,107.201698,666.97998,548.390015
9/22/2015,105.517509,653.200012,538.400024
9/23/2015,106.373558,653.289978,536.070007
9/24/2015,107.006294,654.909973,533.75
9/25/2015,106.736458,640.150024,524.25
9/28/2015,104.624237,624.25,504.059998
9/29/2015,101.479179,622.609985,496.070007
9/30/2015,102.632996,638.369995,511.890015
10/1/2015,101.963036,642,520.719971
10/2/2015,102.707428,656.98999,532.539978
10/5/2015,103.079636,671.679993,543.679993
10/6/2015,103.572777,671.640015,537.47998
10/7/2015,103.079636,670,541.940002
10/8/2015,101.888588,667,533.159973
10/9/2015,104.326485,671.23999,539.799988
10/12/2015,103.842636,676.429993,550.190002
10/13/2015,104.019409,683.169983,548.900024
10/14/2015,102.549255,680.409973,544.830017
10/15/2015,104.084564,693.02002,562.440002
10/16/2015,103.321564,695.320007,570.76001
10/19/2015,103.963593,699.950012,573.150024
10/20/2015,105.861801,680,560.880005
10/21/2015,105.852493,671.799988,555.77002
10/22/2015,107.471558,681.140015,563.909973
10/23/2015,110.802673,719.330017,599.030029
10/26/2015,107.26683,731.119995,608.609985
10/27/2015,106.587563,732.820007,611.01001
10/28/2015,110.979469,736.919983,617.099976
10/29/2015,112.151901,744.849976,626.549988
10/30/2015,111.193504,737.390015,625.900024
11/2/2015,112.756714,747.73999,628.349976
